"","exp_name","cell_name","Menthol.400uM","AITC.100uM","Capsaicin.300nM","K.40mM"
"X.1","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.1",0,0,0,0
"X.2","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.2",1,1,0,0
"X.3","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.3",0,0,0,1
"X.4","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.4",0,0,0,1
"X.5","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.5",1,1,0,0
"X.6","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.6",0,0,0,0
"X.7","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.7",0,0,0,1
"X.8","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.8",0,0,0,0
"X.9","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.9",0,1,0,0
"X.10","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.10",1,1,0,0
"X.11","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.11",0,0,0,0
"X.12","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.12",1,1,0,0
"X.13","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.13",0,0,0,0
"X.14","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.14",1,1,0,0
"X.15","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.15",0,0,1,0
"X.16","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.16",0,0,0,0
"X.17","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.17",0,0,0,0
"X.18","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.18",0,0,0,0
"X.19","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.19",1,0,0,0
"X.20","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.20",1,0,0,0
"X.21","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.21",0,1,0,0
"X.22","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.22",1,1,0,0
"X.23","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.23",0,0,0,0
"X.24","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.24",1,1,0,0
"X.25","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.25",0,0,0,1
"X.26","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.26",0,0,1,0
"X.27","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.27",0,0,0,0
"X.28","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.28",1,1,0,0
"X.29","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.29",1,1,0,0
"X.30","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.30",0,0,0,0
"X.31","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.31",0,0,0,0
"X.32","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.32",1,1,0,0
"X.33","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.33",0,0,0,0
"X.34","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.34",0,0,0,0
"X.35","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.35",1,1,0,0
"X.36","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.36",0,0,0,0
"X.37","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.37",0,0,0,0
"X.38","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.38",1,0,0,1
"X.39","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.39",1,1,0,0
"X.40","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.40",1,0,1,0
"X.41","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.41",1,1,0,0
"X.42","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.42",1,1,0,1
"X.43","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.43",1,0,0,1
"X.44","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.44",0,0,0,0
"X.45","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.45",1,1,0,0
"X.46","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.46",1,1,0,0
