"","exp_name","cell_name","AITC.100uM","Menthol.400uM","Capsaicin.300nM","K.40mM"
"X.1","RD.190125.71.f.m1.w1.Rdata","X.1",0,0,0,0
"X.2","RD.190125.71.f.m1.w1.Rdata","X.2",1,0,1,0
"X.3","RD.190125.71.f.m1.w1.Rdata","X.3",0,0,1,1
"X.4","RD.190125.71.f.m1.w1.Rdata","X.4",0,0,0,0
"X.5","RD.190125.71.f.m1.w1.Rdata","X.5",1,1,0,1
"X.6","RD.190125.71.f.m1.w1.Rdata","X.6",0,0,0,0
"X.7","RD.190125.71.f.m1.w1.Rdata","X.7",0,0,0,0
"X.8","RD.190125.71.f.m1.w1.Rdata","X.8",0,0,0,0
"X.9","RD.190125.71.f.m1.w1.Rdata","X.9",0,0,0,0
"X.10","RD.190125.71.f.m1.w1.Rdata","X.10",1,0,1,1
"X.11","RD.190125.71.f.m1.w1.Rdata","X.11",0,0,0,0
"X.12","RD.190125.71.f.m1.w1.Rdata","X.12",0,0,0,0
"X.13","RD.190125.71.f.m1.w1.Rdata","X.13",0,0,0,0
"X.14","RD.190125.71.f.m1.w1.Rdata","X.14",0,1,1,1
"X.15","RD.190125.71.f.m1.w1.Rdata","X.15",1,0,1,1
"X.16","RD.190125.71.f.m1.w1.Rdata","X.16",0,0,0,0
"X.17","RD.190125.71.f.m1.w1.Rdata","X.17",0,1,0,0
"X.18","RD.190125.71.f.m1.w1.Rdata","X.18",1,1,1,0
"X.19","RD.190125.71.f.m1.w1.Rdata","X.19",0,0,0,0
"X.20","RD.190125.71.f.m1.w1.Rdata","X.20",1,0,0,0
"X.21","RD.190125.71.f.m1.w1.Rdata","X.21",0,1,0,1
"X.22","RD.190125.71.f.m1.w1.Rdata","X.22",0,0,0,0
"X.23","RD.190125.71.f.m1.w1.Rdata","X.23",0,0,0,0
"X.24","RD.190125.71.f.m1.w1.Rdata","X.24",0,0,0,0
"X.25","RD.190125.71.f.m1.w1.Rdata","X.25",0,1,0,1
"X.26","RD.190125.71.f.m1.w1.Rdata","X.26",0,0,0,0
"X.27","RD.190125.71.f.m1.w1.Rdata","X.27",1,1,0,1
"X.28","RD.190125.71.f.m1.w1.Rdata","X.28",0,0,0,0
"X.29","RD.190125.71.f.m1.w1.Rdata","X.29",0,0,0,0
"X.30","RD.190125.71.f.m1.w1.Rdata","X.30",1,1,0,1
"X.31","RD.190125.71.f.m1.w1.Rdata","X.31",0,0,0,0
"X.32","RD.190125.71.f.m1.w1.Rdata","X.32",0,0,0,1
"X.33","RD.190125.71.f.m1.w1.Rdata","X.33",0,0,0,0
"X.34","RD.190125.71.f.m1.w1.Rdata","X.34",1,0,1,1
