"","exp_name","cell_name","AITC.100uM","Menthol.400uM","Capsaicin.300nM","K.50mM"
"X.1","RD.181221.l.22.f.p1.Rdata","X.1",0,0,0,0
"X.2","RD.181221.l.22.f.p1.Rdata","X.2",0,0,0,0
"X.3","RD.181221.l.22.f.p1.Rdata","X.3",0,0,0,0
"X.4","RD.181221.l.22.f.p1.Rdata","X.4",0,0,0,0
"X.5","RD.181221.l.22.f.p1.Rdata","X.5",0,0,0,0
"X.6","RD.181221.l.22.f.p1.Rdata","X.6",0,0,0,0
"X.7","RD.181221.l.22.f.p1.Rdata","X.7",1,0,0,1
"X.8","RD.181221.l.22.f.p1.Rdata","X.8",0,0,0,0
"X.9","RD.181221.l.22.f.p1.Rdata","X.9",1,1,0,1
"X.10","RD.181221.l.22.f.p1.Rdata","X.10",0,0,1,1
"X.11","RD.181221.l.22.f.p1.Rdata","X.11",1,1,0,1
"X.12","RD.181221.l.22.f.p1.Rdata","X.12",0,0,0,0
"X.13","RD.181221.l.22.f.p1.Rdata","X.13",0,0,1,1
"X.14","RD.181221.l.22.f.p1.Rdata","X.14",0,0,0,0
"X.15","RD.181221.l.22.f.p1.Rdata","X.15",0,1,0,1
"X.16","RD.181221.l.22.f.p1.Rdata","X.16",0,0,0,0
"X.17","RD.181221.l.22.f.p1.Rdata","X.17",0,0,0,0
"X.18","RD.181221.l.22.f.p1.Rdata","X.18",0,0,0,0
"X.19","RD.181221.l.22.f.p1.Rdata","X.19",0,0,0,0
"X.20","RD.181221.l.22.f.p1.Rdata","X.20",0,0,1,1
"X.21","RD.181221.l.22.f.p1.Rdata","X.21",0,0,0,0
"X.22","RD.181221.l.22.f.p1.Rdata","X.22",0,0,0,0
"X.23","RD.181221.l.22.f.p1.Rdata","X.23",0,0,1,1
"X.24","RD.181221.l.22.f.p1.Rdata","X.24",0,0,0,0
"X.25","RD.181221.l.22.f.p1.Rdata","X.25",0,0,0,0
"X.26","RD.181221.l.22.f.p1.Rdata","X.26",0,0,0,0
"X.27","RD.181221.l.22.f.p1.Rdata","X.27",1,0,0,1
"X.28","RD.181221.l.22.f.p1.Rdata","X.28",0,0,0,0
"X.29","RD.181221.l.22.f.p1.Rdata","X.29",0,0,0,0
"X.30","RD.181221.l.22.f.p1.Rdata","X.30",0,0,1,1
"X.31","RD.181221.l.22.f.p1.Rdata","X.31",0,0,0,0
"X.32","RD.181221.l.22.f.p1.Rdata","X.32",0,1,0,1
"X.33","RD.181221.l.22.f.p1.Rdata","X.33",0,0,0,1
"X.34","RD.181221.l.22.f.p1.Rdata","X.34",0,0,0,0
"X.35","RD.181221.l.22.f.p1.Rdata","X.35",0,0,0,0
"X.36","RD.181221.l.22.f.p1.Rdata","X.36",0,0,1,1
"X.37","RD.181221.l.22.f.p1.Rdata","X.37",0,0,0,0
"X.38","RD.181221.l.22.f.p1.Rdata","X.38",0,0,0,0
"X.39","RD.181221.l.22.f.p1.Rdata","X.39",0,0,0,0
"X.40","RD.181221.l.22.f.p1.Rdata","X.40",1,1,0,1
"X.41","RD.181221.l.22.f.p1.Rdata","X.41",1,0,0,1
"X.42","RD.181221.l.22.f.p1.Rdata","X.42",1,1,0,1
"X.43","RD.181221.l.22.f.p1.Rdata","X.43",0,0,0,0
"X.44","RD.181221.l.22.f.p1.Rdata","X.44",0,0,0,0
"X.45","RD.181221.l.22.f.p1.Rdata","X.45",0,0,0,1
"X.46","RD.181221.l.22.f.p1.Rdata","X.46",0,0,0,0
"X.47","RD.181221.l.22.f.p1.Rdata","X.47",0,0,0,0
"X.48","RD.181221.l.22.f.p1.Rdata","X.48",0,0,0,0
"X.49","RD.181221.l.22.f.p1.Rdata","X.49",0,0,0,0
"X.50","RD.181221.l.22.f.p1.Rdata","X.50",0,0,0,1
"X.51","RD.181221.l.22.f.p1.Rdata","X.51",0,0,0,0
"X.52","RD.181221.l.22.f.p1.Rdata","X.52",0,0,0,0
"X.53","RD.181221.l.22.f.p1.Rdata","X.53",0,0,0,0
"X.54","RD.181221.l.22.f.p1.Rdata","X.54",0,0,0,1
"X.55","RD.181221.l.22.f.p1.Rdata","X.55",1,1,0,1
"X.56","RD.181221.l.22.f.p1.Rdata","X.56",0,0,0,1
"X.57","RD.181221.l.22.f.p1.Rdata","X.57",0,0,0,1
"X.58","RD.181221.l.22.f.p1.Rdata","X.58",0,0,0,0
"X.59","RD.181221.l.22.f.p1.Rdata","X.59",0,0,0,0
